"Time","Velocity","Acceleration","Position"
0.3000000000000001,"{4.327941176470588, -2.5967647058823546}","{1.2983823529411767, -0.7790294117647069}","{-0.7987507352941178, 1.8792504411764703}"
0.3100000000000001,"{4.327941176470588, -2.5967647058823546}","{1.3416617647058826, -0.8049970588235305}","{-0.785334117647059, 1.871200470588235}"
0.3200000000000001,"{4.327941176470588, -2.5967647058823546}","{1.3849411764705886, -0.830964705882354}","{-0.7714847058823531, 1.8628908235294115}"
0.3300000000000001,"{4.327941176470588, -2.5967647058823546}","{1.4282205882352945, -0.8569323529411776}","{-0.7572025000000001, 1.8543214999999997}"
0.34000000000000014,"{4.327941176470588, -2.5967647058823546}","{1.4715000000000005, -0.8829000000000012}","{-0.7424875000000001, 1.8454924999999998}"
0.35000000000000014,"{4.327941176470588, -2.5967647058823546}","{1.5147794117647064, -0.9088676470588248}","{-0.727339705882353, 1.8364038235294116}"
0.36000000000000015,"{4.327941176470588, -2.5967647058823546}","{1.5580588235294124, -0.9348352941176484}","{-0.7117591176470588, 1.8270554705882351}"
0.37000000000000016,"{4.327941176470588, -2.5967647058823546}","{1.6013382352941183, -0.960802941176472}","{-0.6957457352941177, 1.8174474411764705}"
0.38000000000000017,"{4.327941176470588, -2.5967647058823546}","{1.6446176470588243, -0.9867705882352956}","{-0.6792995588235294, 1.8075797352941176}"
0.3900000000000002,"{4.327941176470588, -2.5967647058823546}","{1.6878970588235302, -1.0127382352941192}","{-0.6624205882352941, 1.7974523529411766}"
0.4000000000000002,"{4.327941176470588, -2.5967647058823546}","{1.7311764705882362, -1.0387058823529427}","{-0.6451088235294118, 1.787065294117647}"
0.4100000000000002,"{4.327941176470588, -2.5967647058823546}","{1.7744558823529422, -1.0646735294117662}","{-0.6273642647058824, 1.7764185588235293}"
0.4200000000000002,"{4.327941176470588, -2.5967647058823546}","{1.8177352941176481, -1.0906411764705897}","{-0.6091869117647059, 1.7655121470588233}"
0.4300000000000002,"{4.327941176470588, -2.5967647058823546}","{1.861014705882354, -1.1166088235294132}","{-0.5905767647058823, 1.7543460588235291}"
0.4400000000000002,"{4.327941176470588, -2.5967647058823546}","{1.90429411764706, -1.1425764705882366}","{-0.5715338235294116, 1.7429202941176467}"
0.45000000000000023,"{4.327941176470588, -2.5967647058823546}","{1.947573529411766, -1.1685441176470601}","{-0.552058088235294, 1.731234852941176}"
0.46000000000000024,"{4.327941176470588, -2.5967647058823546}","{1.990852941176472, -1.1945117647058836}","{-0.5321495588235293, 1.7192897352941172}"
0.47000000000000025,"{4.327941176470588, -2.5967647058823546}","{2.0341323529411777, -1.220479411764707}","{-0.5118082352941176, 1.7070849411764701}"
0.48000000000000026,"{4.327941176470588, -2.5967647058823546}","{2.0774117647058836, -1.2464470588235306}","{-0.49103411764705873, 1.6946204705882348}"
0.49000000000000027,"{4.327941176470588, -2.5967647058823546}","{2.1206911764705896, -1.272414705882354}","{-0.4698272058823528, 1.6818963235294113}"
0.5000000000000002,"{4.327941176470588, -2.5967647058823546}","{2.1639705882352955, -1.2983823529411775}","{-0.44818749999999985, 1.6689124999999996}"
0.5100000000000002,"{4.327941176470588, -2.5967647058823546}","{2.2072500000000015, -1.324350000000001}","{-0.42611499999999985, 1.6556689999999996}"
0.5200000000000002,"{4.327941176470588, -2.5967647058823546}","{2.2505294117647074, -1.3503176470588245}","{-0.4036097058823528, 1.6421658235294114}"
0.5300000000000002,"{4.327941176470588, -2.5967647058823546}","{2.2938088235294134, -1.376285294117648}","{-0.38067161764705865, 1.628402970588235}"
0.5400000000000003,"{4.327941176470588, -2.5967647058823546}","{2.3370882352941194, -1.4022529411764715}","{-0.35730073529411743, 1.6143804411764704}"
0.5500000000000003,"{4.327941176470588, -2.5967647058823546}","{2.3803676470588253, -1.428220588235295}","{-0.3334970588235292, 1.6000982352941175}"
0.5600000000000003,"{4.327941176470588, -2.5967647058823546}","{2.4236470588235313, -1.4541882352941184}","{-0.3092605882352939, 1.5855563529411763}"
0.5700000000000003,"{4.327941176470588, -2.5967647058823546}","{2.466926470588237, -1.480155882352942}","{-0.2845913235294115, 1.5707547941176467}"
0.5800000000000003,"{4.327941176470588, -2.5967647058823546}","{2.510205882352943, -1.5061235294117654}","{-0.2594892647058821, 1.555693558823529}"
0.5900000000000003,"{4.327941176470588, -2.5967647058823546}","{2.553485294117649, -1.532091176470589}","{-0.23395441176470558, 1.540372647058823}"
0.6000000000000003,"{4.327941176470588, -2.5967647058823546}","{2.596764705882355, -1.5580588235294124}","{-0.20798676470588204, 1.5247920588235289}"
0.6100000000000003,"{4.327941176470588, -2.5967647058823546}","{2.640044117647061, -1.5840264705882359}","{-0.18158632352941143, 1.5089517941176465}"
0.6200000000000003,"{4.327941176470588, -2.5967647058823546}","{2.683323529411767, -1.6099941176470594}","{-0.15475308823529377, 1.4928518529411758}"
0.6300000000000003,"{4.327941176470588, -2.5967647058823546}","{2.726602941176473, -1.6359617647058828}","{-0.12748705882352904, 1.476492235294117}"
0.6400000000000003,"{4.327941176470588, -2.5967647058823546}","{2.769882352941179, -1.6619294117647063}","{-0.09978823529411725, 1.45987294117647}"
0.6500000000000004,"{4.327941176470588, -2.5967647058823546}","{2.813161764705885, -1.6878970588235298}","{-0.0716566176470584, 1.4429939705882346}"
0.6600000000000004,"{4.327941176470588, -2.5967647058823546}","{2.856441176470591, -1.7138647058823533}","{-0.04309220588235249, 1.4258553235294111}"
0.6700000000000004,"{4.327941176470588, -2.5967647058823546}","{2.8997205882352968, -1.7398323529411768}","{-0.014094999999999525, 1.4084569999999994}"
0.6800000000000004,"{4.327941176470588, -2.5967647058823546}","{2.9430000000000027, -1.7658000000000003}","{0.015335000000000504, 1.3907989999999995}"
0.6900000000000004,"{4.327941176470588, -2.5967647058823546}","{2.9862794117647087, -1.7917676470588237}","{0.04519779411764759, 1.3728813235294113}"
0.7000000000000004,"{4.327941176470588, -2.5967647058823546}","{3.0295588235294146, -1.8177352941176472}","{0.07549338235294174, 1.3547039705882349}"
0.7100000000000004,"{4.327941176470588, -2.5967647058823546}","{3.0728382352941206, -1.8437029411764707}","{0.10622176470588295, 1.3362669411764703}"
0.7200000000000004,"{4.327941176470588, -2.5967647058823546}","{3.1161176470588265, -1.8696705882352942}","{0.1373829411764712, 1.3175702352941174}"
0.7300000000000004,"{4.327941176470588, -2.5967647058823546}","{3.1593970588235325, -1.8956382352941177}","{0.16897691176470653, 1.2986138529411761}"
0.7400000000000004,"{4.327941176470588, -2.5967647058823546}","{3.2026764705882385, -1.9216058823529412}","{0.20100367647058892, 1.2793977941176466}"
0.7500000000000004,"{4.327941176470588, -2.5967647058823546}","{3.2459558823529444, -1.9475735294117646}","{0.23346323529411836, 1.259922058823529}"
0.7600000000000005,"{4.327941176470588, -2.5967647058823546}","{3.2892352941176504, -1.9735411764705881}","{0.26635558823529487, 1.240186647058823}"
0.7700000000000005,"{4.327941176470588, -2.5967647058823546}","{3.3325147058823563, -1.9995088235294116}","{0.2996807352941184, 1.2201915588235288}"
0.7800000000000005,"{4.327941176470588, -2.5967647058823546}","{3.3757941176470623, -2.0254764705882353}","{0.33343867647058906, 1.1999367941176464}"
0.7900000000000005,"{4.327941176470588, -2.5967647058823546}","{3.4190735294117682, -2.051444117647059}","{0.36762941176470676, 1.1794223529411758}"
0.8000000000000005,"{4.327941176470588, -2.5967647058823546}","{3.462352941176474, -2.0774117647058823}","{0.4022529411764715, 1.158648235294117}"
0.8100000000000005,"{4.327941176470588, -2.5967647058823546}","{3.50563235294118, -2.1033794117647058}","{0.43730926470588327, 1.13761444117647}"
0.8200000000000005,"{4.327941176470588, -2.5967647058823546}","{3.548911764705886, -2.1293470588235293}","{0.47279838235294214, 1.1163209705882347}"
0.8300000000000005,"{4.327941176470588, -2.5967647058823546}","{3.592191176470592, -2.1553147058823527}","{0.5087202941176481, 1.0947678235294112}"
0.8400000000000005,"{4.327941176470588, -2.5967647058823546}","{3.635470588235298, -2.1812823529411762}","{0.5450750000000011, 1.0729549999999994}"
0.8500000000000005,"{4.327941176470588, -2.5967647058823546}","{3.678750000000004, -2.2072499999999997}","{0.5818625000000012, 1.0508824999999995}"
0.8600000000000005,"{4.327941176470588, -2.5967647058823546}","{3.72202941176471, -2.233217647058823}","{0.6190827941176482, 1.0285503235294113}"
0.8700000000000006,"{4.327941176470588, -2.5967647058823546}","{3.765308823529416, -2.2591852941176467}","{0.6567358823529423, 1.005958470588235}"
0.8800000000000006,"{4.327941176470588, -2.5967647058823546}","{3.808588235294122, -2.28515294117647}","{0.6948217647058835, 0.9831069411764702}"
0.8900000000000006,"{4.327941176470588, -2.5967647058823546}","{3.851867647058828, -2.3111205882352936}","{0.7333404411764718, 0.9599957352941173}"
0.9000000000000006,"{4.327941176470588, -2.5967647058823546}","{3.8951470588235337, -2.337088235294117}","{0.7722919117647071, 0.9366248529411761}"
0.9100000000000006,"{4.327941176470588, -2.5967647058823546}","{3.9384264705882397, -2.3630558823529406}","{0.8116761764705895, 0.9129942941176468}"
0.9200000000000006,"{4.327941176470588, -2.5967647058823546}","{3.9817058823529456, -2.389023529411764}","{0.851493235294119, 0.8891040588235292}"
0.9300000000000006,"{4.327941176470588, -2.5967647058823546}","{4.024985294117651, -2.4149911764705876}","{0.8917430882352956, 0.8649541470588233}"
0.9400000000000006,"{4.327941176470588, -2.5967647058823546}","{4.068264705882357, -2.440958823529411}","{0.9324257352941192, 0.8405445588235292}"
0.9500000000000006,"{4.327941176470588, -2.5967647058823546}","{4.111544117647063, -2.4669264705882346}","{0.9735411764705898, 0.8158752941176468}"
0.9600000000000006,"{4.327941176470588, -2.5967647058823546}","{4.154823529411769, -2.492894117647058}","{1.0150894117647076, 0.7909463529411762}"
0.9700000000000006,"{4.327941176470588, -2.5967647058823546}","{4.198102941176475, -2.5188617647058815}","{1.0570704411764724, 0.7657577352941174}"
0.9800000000000006,"{4.327941176470588, -2.5967647058823546}","{4.241382352941181, -2.544829411764705}","{1.0994842647058842, 0.7403094411764704}"
0.9900000000000007,"{4.327941176470588, -2.5967647058823546}","{4.284661764705887, -2.5707970588235285}","{1.142330882352943, 0.7146014705882351}"
1.0000000000000007,"{4.327941176470588, -2.5967647058823546}","{4.327941176470593, -2.596764705882352}","{1.185610294117649, 0.6886338235294116}"
1.0100000000000007,"{4.327941176470588, -2.5967647058823546}","{4.371220588235299, -2.6227323529411755}","{1.2293225000000019, 0.6624064999999999}"
1.0200000000000007,"{4.327941176470588, -2.5967647058823546}","{4.414500000000005, -2.648699999999999}","{1.273467500000002, 0.6359194999999999}"
1.0300000000000007,"{4.327941176470588, -2.5967647058823546}","{4.457779411764711, -2.6746676470588224}","{1.318045294117649, 0.6091728235294116}"
1.0400000000000007,"{4.327941176470588, -2.5967647058823546}","{4.501058823529417, -2.700635294117646}","{1.3630558823529433, 0.5821664705882351}"
1.0500000000000007,"{4.327941176470588, -2.5967647058823546}","{4.544338235294123, -2.7266029411764694}","{1.4084992647058845, 0.5549004411764704}"
1.0600000000000007,"{4.327941176470588, -2.5967647058823546}","{4.587617647058829, -2.752570588235293}","{1.4543754411764729, 0.5273747352941175}"
1.0700000000000007,"{4.327941176470588, -2.5967647058823546}","{4.6308970588235345, -2.7785382352941164}","{1.5006844117647082, 0.49958935294117635}"
1.0800000000000007,"{4.327941176470588, -2.5967647058823546}","{4.6741764705882405, -2.80450588235294}","{1.5474261764705906, 0.4715442941176469}"
1.0900000000000007,"{4.327941176470588, -2.5967647058823546}","{4.717455882352946, -2.8304735294117633}","{1.59460073529412, 0.4432395588235293}"
1.1000000000000008,"{4.327941176470588, -2.5967647058823546}","{4.760735294117652, -2.856441176470587}","{1.6422080882352965, 0.4146751470588234}"
1.1100000000000008,"{4.327941176470588, -2.5967647058823546}","{4.804014705882358, -2.8824088235294103}","{1.6902482352941202, 0.3858510588235293}"
1.1200000000000008,"{4.327941176470588, -2.5967647058823546}","{4.847294117647064, -2.908376470588234}","{1.7387211764705908, 0.35676729411764696}"
1.1300000000000008,"{4.327941176470588, -2.5967647058823546}","{4.89057352941177, -2.9343441176470573}","{1.7876269117647086, 0.3274238529411764}"
1.1400000000000008,"{4.327941176470588, -2.5967647058823546}","{4.933852941176476, -2.9603117647058808}","{1.8369654411764733, 0.29782073529411757}"
1.1500000000000008,"{4.327941176470588, -2.5967647058823546}","{4.977132352941182, -2.9862794117647042}","{1.8867367647058852, 0.26795794117647054}"
1.1600000000000008,"{4.327941176470588, -2.5967647058823546}","{5.020411764705888, -3.0122470588235277}","{1.9369408823529441, 0.23783547058823526}"
1.1700000000000008,"{4.327941176470588, -2.5967647058823546}","{5.063691176470594, -3.038214705882351}","{1.98757779411765, 0.20745332352941176}"
1.1800000000000008,"{4.327941176470588, -2.5967647058823546}","{5.1069705882353, -3.0641823529411747}","{2.038647500000003, 0.1768115}"
1.1900000000000008,"{4.327941176470588, -2.5967647058823546}","{5.150250000000006, -3.090149999999998}","{2.090150000000003, 0.14591000000000004}"
1.2000000000000008,"{4.327941176470588, -2.5967647058823546}","{5.193529411764712, -3.1161176470588217}","{2.14208529411765, 0.11474882352941182}"
1.2100000000000009,"{4.327941176470588, -2.5967647058823546}","{5.236808823529418, -3.142085294117645}","{2.194453382352944, 0.08332797058823536}"
1.2200000000000009,"{4.327941176470588, -2.5967647058823546}","{5.280088235294124, -3.1680529411764686}","{2.2472542647058855, 0.05164744117647068}"
1.2300000000000009,"{4.327941176470588, -2.5967647058823546}","{5.32336764705883, -3.194020588235292}","{2.300487941176474, 0.01970723529411776}"
1.2400000000000009,"{4.327941176470588, -2.5967647058823546}","{5.366647058823536, -3.2199882352941156}","{2.3541544117647093, -0.012492647058823393}"
